Type,Theme,Runner,DetailCode,count
error,horizon,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId,20511
error,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail,6320
error,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail,6297
error,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail,6035
error,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail,5992
error,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail,5910
error,light,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent,2488
error,horizon,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent,2483
error,solarized,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent,2483
error,darcula,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent,2482
error,dark,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent,2481
error,material-darker,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent,2481
error,material-darker,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name,961
error,darcula,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name,961
error,solarized,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name,961
error,dark,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name,937
error,light,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name,937
error,horizon,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name,937
error,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail,460
notice,horizon,axe,empty-table-header,263291
notice,darcula,axe,empty-table-header,263291
notice,dark,axe,empty-table-header,263287
notice,material-darker,axe,empty-table-header,263287
notice,solarized,axe,empty-table-header,263287
notice,light,axe,empty-table-header,263239
notice,material-darker,axe,duplicate-id,57630
notice,solarized,axe,duplicate-id,57629
notice,horizon,axe,duplicate-id,57628
notice,darcula,axe,duplicate-id,57624
notice,dark,axe,duplicate-id,57593
notice,light,axe,duplicate-id,57584
notice,solarized,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81",746510
notice,dark,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81",746496
notice,material-darker,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81",746473
notice,darcula,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81",746408
notice,horizon,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81",746407
notice,light,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81",746387
notice,dark,htmlcs,"WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74",318317
notice,material-darker,htmlcs,"WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74",318317
notice,horizon,htmlcs,"WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74",318317
notice,darcula,htmlcs,"WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74",318317
notice,solarized,htmlcs,"WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74",318317
notice,light,htmlcs,"WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74",318287
notice,dark,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.DataTable,140393
notice,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.DataTable,140393
notice,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.DataTable,140393
notice,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.DataTable,140393
notice,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.DataTable,140393
notice,light,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.DataTable,140372
notice,dark,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.2,94959
